OBJECTID,observation_id,taxon_id,taxon_category_name,observer_id,observed_on,observed_on_month,observed_on_year,modified_on,quality_grade,latitude,longitude,uncertainty_m,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,scientific_name,common_name,reference_url,SHAPE,long,lat,center_x,center_y,taxon_class_name_x,taxon_class_name_y
2579994,887473,3954,Aves,klyberger,2014-09-20T15:40:42-07:00,9,2014,2024-12-27T07:03:51+00:00,research,38.025895,-122.887569,10,Limosa,fedoa,,Limosa fedoa,Marbled Godwit,https://www.inaturalist.org/observations/887473,"{'x': -122.88756899999998, 'y': 38.02589500000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88756899999998,38.02589500000005,-122.90530061399994,38.027592301000055,Aves,Aves
2800915,1404791,777371,Plantae,direbecca,2015-04-18T00:00:00+00:00,4,2015,2023-07-08T11:37:31+00:00,research,38.026763,-122.885599,,Diplacus,aurantiacus,,Diplacus aurantiacus,orange bush monkeyflower,https://www.inaturalist.org/observations/1404791,"{'x': -122.88559899999996, 'y': 38.026763000000074, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88559899999996,38.026763000000074,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2579993,887472,154386,Reptilia,klyberger,2014-09-20T15:22:34-07:00,9,2014,2021-03-07T01:10:09+00:00,research,38.025822,-122.883733,10,Thamnophis,elegans,terrestris,Thamnophis elegans terrestris,Coast Garter Snake,https://www.inaturalist.org/observations/887472,"{'x': -122.88373299999995, 'y': 38.02582200000006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88373299999995,38.02582200000006,-122.90530061399994,38.027592301000055,Reptilia,Reptilia
1738736,126886890,69925,Mollusca,kemper,2022-07-18T11:42:00-07:00,7,2022,2022-07-22T18:16:27+00:00,research,38.0305683333,-122.9502866667,,Clinocardium,nuttallii,,Clinocardium nuttallii,Nuttall's Cockle,https://www.inaturalist.org/observations/126886890,"{'x': -122.95028666699994, 'y': 38.030568333000076, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95028666699994,38.030568333000076,-122.90530061399994,38.027592301000055,Bivalvia,Bivalvia
791776,250631,52821,Plantae,hikingtony,2008-06-28T12:48:00-07:00,6,2008,2015-03-05T15:08:32+00:00,research,38.05877,-122.922249,209,Achillea,millefolium,,Achillea millefolium,common yarrow,https://www.inaturalist.org/observations/250631,"{'x': -122.92224899999997, 'y': 38.05877000000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.92224899999997,38.05877000000004,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
28252,20226,58812,Plantae,folini,2011-02-23T00:00:00+00:00,2,2011,2026-02-19T22:38:40+00:00,research,38.0264756142,-122.8828310966,,Cotula,coronopifolia,,Cotula coronopifolia,Brass Buttons,https://www.inaturalist.org/observations/20226,"{'x': -122.88283109699995, 'y': 38.02647561400005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88283109699995,38.02647561400005,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
715703,227234,58812,Plantae,chriswbrown,2013-04-01T12:40:08-07:00,4,2013,2016-10-19T08:07:27+00:00,research,38.027458,-122.88245,5,Cotula,coronopifolia,,Cotula coronopifolia,Brass Buttons,https://www.inaturalist.org/observations/227234,"{'x': -122.88244999999995, 'y': 38.027458000000024, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88244999999995,38.027458000000024,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2368949,708044,56028,Plantae,ewrubel,2014-05-29T15:21:16-07:00,5,2014,2025-02-27T18:44:45+00:00,research,38.0294333333,-122.8825083333,,Chasmanthe,floribunda,,Chasmanthe floribunda,African flag,https://www.inaturalist.org/observations/708044,"{'x': -122.88250833299998, 'y': 38.02943333300004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88250833299998,38.02943333300004,-122.90530061399994,38.027592301000055,Liliopsida,Liliopsida
1739639,126886958,7036,Aves,kemper,2022-07-18T12:34:00-07:00,7,2022,2022-07-18T23:45:59+00:00,research,38.0297016667,-122.952305,,Melanitta,perspicillata,,Melanitta perspicillata,Surf Scoter,https://www.inaturalist.org/observations/126886958,"{'x': -122.95230499999997, 'y': 38.02970166700004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95230499999997,38.02970166700004,-122.90530061399994,38.027592301000055,Aves,Aves
2744913,1255275,49918,Plantae,direbecca,2014-04-15T00:00:00+00:00,4,2014,2023-07-08T12:18:31+00:00,research,38.034635,-122.88208,104,Sisyrinchium,bellum,,Sisyrinchium bellum,western blue-eyed grass,https://www.inaturalist.org/observations/1255275,"{'x': -122.88207999999997, 'y': 38.03463500000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88207999999997,38.03463500000004,-122.90530061399994,38.027592301000055,Liliopsida,Liliopsida
985775,303606,117663,Other,toddplummer,2013-06-16T14:00:00-07:00,6,2013,2022-06-29T13:31:04+00:00,research,38.029521,-122.953063,,Blepharipoda,occidentalis,,Blepharipoda occidentalis,Spiny Mole Crab,https://www.inaturalist.org/observations/303606,"{'x': -122.95306299999999, 'y': 38.029521000000045, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95306299999999,38.029521000000045,-122.90530061399994,38.027592301000055,Malacostraca,Malacostraca
1738104,126886854,63697,Other,kemper,2022-07-18T11:34:00-07:00,7,2022,2022-07-19T01:34:47+00:00,research,38.02916,-122.9554,,Metacarcinus,magister,,Metacarcinus magister,Dungeness Crab,https://www.inaturalist.org/observations/126886854,"{'x': -122.95539999999994, 'y': 38.02916000000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95539999999994,38.02916000000005,-122.90530061399994,38.027592301000055,Malacostraca,Malacostraca
439094,168681606,57186,Plantae,kputirka,2023-06-20T18:27:29-07:00,6,2023,2025-04-16T00:34:42+00:00,research,38.0249580788,-122.8770625872,5,Melica,californica,,Melica californica,California melic,https://www.inaturalist.org/observations/168681606,"{'x': -122.87706258699995, 'y': 38.024958079000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87706258699995,38.024958079000044,-122.90530061399994,38.027592301000055,Liliopsida,Liliopsida
1738004,126886826,120499,Other,kemper,2022-07-18T11:28:00-07:00,7,2022,2022-07-20T00:57:15+00:00,research,38.02798,-122.9579683333,,Nereocystis,luetkeana,,Nereocystis luetkeana,Bull Kelp,https://www.inaturalist.org/observations/126886826,"{'x': -122.95796833299994, 'y': 38.02798000000007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95796833299994,38.02798000000007,-122.90530061399994,38.027592301000055,Phaeophyceae,Phaeophyceae
1737735,126886807,60963,Plantae,kemper,2022-07-18T11:23:00-07:00,7,2022,2022-11-30T23:47:52+00:00,research,38.0277783333,-122.9595483333,,Eriophyllum,staechadifolium,,Eriophyllum staechadifolium,Lizard tail,https://www.inaturalist.org/observations/126886807,"{'x': -122.95954833299999, 'y': 38.02777833300007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95954833299999,38.02777833300007,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2289630,677779,3941,Aves,chrispincetich,2014-05-02T00:00:00+00:00,5,2014,2024-12-27T16:47:20+00:00,research,38.027777,-122.959671,104,Arenaria,melanocephala,,Arenaria melanocephala,Black Turnstone,https://www.inaturalist.org/observations/677779,"{'x': -122.95967099999996, 'y': 38.02777700000007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95967099999996,38.02777700000007,-122.90530061399994,38.027592301000055,Aves,Aves
139287,57923,41728,Mammalia,direbecca,2012-02-05T00:00:00+00:00,2,2012,2023-07-06T15:31:19+00:00,research,38.0229345636,-122.873800531,,Mirounga,angustirostris,,Mirounga angustirostris,Northern Elephant Seal,https://www.inaturalist.org/observations/57923,"{'x': -122.87380053099997, 'y': 38.022934564000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87380053099997,38.022934564000025,-122.90530061399994,38.027592301000055,Mammalia,Mammalia
1903255,550535,78562,Plantae,smvance70,2014-03-02T14:32:54-08:00,3,2014,2025-09-22T01:27:16+00:00,research,38.027383,-122.960661,10,Phyllospadix,torreyi,,Phyllospadix torreyi,Torrey's Surfgrass,https://www.inaturalist.org/observations/550535,"{'x': -122.96066099999996, 'y': 38.02738300000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96066099999996,38.02738300000004,-122.90530061399994,38.027592301000055,Liliopsida,Liliopsida
2724989,1205761,1188213,Aves,miroungazalophus,2015-01-31T00:00:00+00:00,1,2015,2025-11-04T13:53:47+00:00,research,38.027427,-122.961664,3418,Numenius,hudsonicus,,Numenius hudsonicus,Hudsonian Whimbrel,https://www.inaturalist.org/observations/1205761,"{'x': -122.96166399999998, 'y': 38.027427000000046, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96166399999998,38.027427000000046,-122.90530061399994,38.027592301000055,Aves,Aves
3076840,43552468,3954,Aves,andrewjohnson8,2018-12-29T11:42:00-08:00,12,2018,2020-04-26T20:37:04+00:00,research,38.0276921583,-122.9616622009,244,Limosa,fedoa,,Limosa fedoa,Marbled Godwit,https://www.inaturalist.org/observations/43552468,"{'x': -122.96166220099997, 'y': 38.027692158000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96166220099997,38.027692158000036,-122.90530061399994,38.027592301000055,Aves,Aves
3076839,43552467,3906,Aves,andrewjohnson8,2018-12-29T11:40:00-08:00,12,2018,2020-04-26T08:08:48+00:00,research,38.0276921583,-122.9616622009,244,Numenius,americanus,,Numenius americanus,Long-billed Curlew,https://www.inaturalist.org/observations/43552467,"{'x': -122.96166220099997, 'y': 38.027692158000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96166220099997,38.027692158000036,-122.90530061399994,38.027592301000055,Aves,Aves
1029777,295317956,48349,Plantae,rupertclayton,2025-07-04T18:04:32-07:00,7,2025,2025-07-05T09:44:58+00:00,research,38.0700912,-122.9180726997,,Vaccinium,ovatum,,Vaccinium ovatum,California huckleberry,https://www.inaturalist.org/observations/295317956,"{'x': -122.91807269999998, 'y': 38.070091200000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91807269999998,38.070091200000036,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2207156,127027380,48479,Other,wsd,2022-07-19T11:35:26-07:00,7,2022,2022-07-22T00:06:29+00:00,research,38.0223166667,-122.872275,67,Chrysaora,fuscescens,,Chrysaora fuscescens,Pacific Sea Nettle,https://www.inaturalist.org/observations/127027380,"{'x': -122.87227499999995, 'y': 38.02231666700004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87227499999995,38.02231666700004,-122.90530061399994,38.027592301000055,Scyphozoa,Scyphozoa
1692947,126886751,9176,Aves,kemper,2022-07-18T11:14:00-07:00,7,2022,2022-07-20T01:48:21+00:00,research,38.0279966667,-122.961845,,Zonotrichia,leucophrys,,Zonotrichia leucophrys,White-crowned Sparrow,https://www.inaturalist.org/observations/126886751,"{'x': -122.96184499999998, 'y': 38.027996667000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96184499999998,38.027996667000025,-122.90530061399994,38.027592301000055,Aves,Aves
1903170,550533,41728,Mammalia,smvance70,2014-03-02T14:25:26-08:00,3,2014,2019-03-10T22:18:13+00:00,research,38.026995,-122.961996,10,Mirounga,angustirostris,,Mirounga angustirostris,Northern Elephant Seal,https://www.inaturalist.org/observations/550533,"{'x': -122.96199599999994, 'y': 38.026995000000056, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96199599999994,38.026995000000056,-122.90530061399994,38.027592301000055,Mammalia,Mammalia
76883,126451049,7036,Aves,davisprovan,2022-07-14T07:34:00-07:00,7,2022,2022-07-16T15:16:51+00:00,research,38.0258583333,-122.9623316667,,Melanitta,perspicillata,,Melanitta perspicillata,Surf Scoter,https://www.inaturalist.org/observations/126451049,"{'x': -122.96233166699994, 'y': 38.02585833300003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96233166699994,38.02585833300003,-122.90530061399994,38.027592301000055,Aves,Aves
1757391,126888355,59212,Plantae,kemper,2022-07-18T12:51:00-07:00,7,2022,2022-08-16T04:19:39+00:00,research,38.0282616667,-122.9630616667,,Juncus,phaeocephalus,,Juncus phaeocephalus,Brown-headed Rush,https://www.inaturalist.org/observations/126888355,"{'x': -122.96306166699998, 'y': 38.02826166700004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96306166699998,38.02826166700004,-122.90530061399994,38.027592301000055,Liliopsida,Liliopsida
1757456,126888362,58812,Plantae,kemper,2022-07-18T12:52:00-07:00,7,2022,2022-07-21T07:29:49+00:00,research,38.0281883333,-122.96307,,Cotula,coronopifolia,,Cotula coronopifolia,Brass Buttons,https://www.inaturalist.org/observations/126888362,"{'x': -122.96306999999996, 'y': 38.02818833300006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96306999999996,38.02818833300006,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
460636,126560378,204114,Mammalia,davisprovan,2022-07-14T10:40:00-07:00,7,2022,2025-01-28T17:11:46+00:00,research,38.0339916667,-122.9628233333,,Cervus,canadensis,,Cervus canadensis,Elk,https://www.inaturalist.org/observations/126560378,"{'x': -122.96282333299996, 'y': 38.033991667000066, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96282333299996,38.033991667000066,-122.90530061399994,38.027592301000055,Mammalia,Mammalia
77052,126451080,4328,Aves,davisprovan,2022-07-14T08:41:00-07:00,7,2022,2022-07-16T13:37:15+00:00,research,38.026025,-122.963735,,Pelecanus,occidentalis,,Pelecanus occidentalis,Brown Pelican,https://www.inaturalist.org/observations/126451080,"{'x': -122.96373499999999, 'y': 38.02602500000006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96373499999999,38.02602500000006,-122.90530061399994,38.027592301000055,Aves,Aves
76884,126451051,7036,Aves,davisprovan,2022-07-14T07:41:00-07:00,7,2022,2022-07-17T19:57:47+00:00,research,38.024875,-122.9642066667,,Melanitta,perspicillata,,Melanitta perspicillata,Surf Scoter,https://www.inaturalist.org/observations/126451051,"{'x': -122.96420666699998, 'y': 38.024875000000065, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96420666699998,38.024875000000065,-122.90530061399994,38.027592301000055,Aves,Aves
2725475,1206662,566549,Mammalia,miroungazalophus,2015-01-25T00:00:00+00:00,1,2015,2018-07-12T02:37:29+00:00,research,38.034917,-122.963238,6691,Cervus,canadensis,nannodes,Cervus canadensis nannodes,Tule Elk,https://www.inaturalist.org/observations/1206662,"{'x': -122.96323799999999, 'y': 38.034917000000064, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96323799999999,38.034917000000064,-122.90530061399994,38.027592301000055,Mammalia,Mammalia
2386412,696243,50812,Plantae,toddplummer,2014-05-23T10:35:35-07:00,5,2014,2014-10-19T02:11:10+00:00,research,38.028989,-122.964138,165,Scrophularia,californica,,Scrophularia californica,California figwort,https://www.inaturalist.org/observations/696243,"{'x': -122.96413799999999, 'y': 38.028989000000024, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96413799999999,38.028989000000024,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2386411,696242,558446,Aves,toddplummer,2014-05-23T10:31:22-07:00,5,2014,2019-02-22T05:38:50+00:00,research,38.028989,-122.964138,28300,Circus,hudsonius,,Circus hudsonius,Northern Harrier,https://www.inaturalist.org/observations/696242,"{'x': -122.96413799999999, 'y': 38.028989000000024, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96413799999999,38.028989000000024,-122.90530061399994,38.027592301000055,Aves,Aves
522589,84434484,57824,Plantae,katherinef2,2021-06-22T14:09:56-07:00,6,2021,2022-02-25T23:08:06+00:00,research,38.0265342386,-122.8695160365,33121,Sambucus,racemosa,,Sambucus racemosa,red elderberry,https://www.inaturalist.org/observations/84434484,"{'x': -122.869516036, 'y': 38.02653423900006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.869516036,38.02653423900006,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
1639281,295504993,144537,Aves,paulgbarnett,2025-07-03T12:36:00-07:00,7,2025,2025-09-17T05:50:26+00:00,research,38.0612387217,-122.9488383233,,Hydroprogne,caspia,,Hydroprogne caspia,Caspian Tern,https://www.inaturalist.org/observations/295504993,"{'x': -122.94883832299996, 'y': 38.06123872200004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.94883832299996,38.06123872200004,-122.90530061399994,38.027592301000055,Aves,Aves
2386630,696324,50320,Plantae,toddplummer,2014-05-23T12:08:09-07:00,5,2014,2016-11-11T01:12:14+00:00,research,38.026797,-122.965937,249,Lathyrus,vestitus,,Lathyrus vestitus,Pacific pea,https://www.inaturalist.org/observations/696324,"{'x': -122.96593699999994, 'y': 38.026797000000045, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96593699999994,38.026797000000045,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
460635,126560377,63697,Other,davisprovan,2022-07-14T08:28:00-07:00,7,2022,2022-07-25T19:17:21+00:00,research,38.0248083333,-122.9661483333,,Metacarcinus,magister,,Metacarcinus magister,Dungeness Crab,https://www.inaturalist.org/observations/126560377,"{'x': -122.96614833299998, 'y': 38.02480833300007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96614833299998,38.02480833300007,-122.90530061399994,38.027592301000055,Malacostraca,Malacostraca
2324575,84929452,60881,Plantae,lenaz,2021-06-28T12:13:59-07:00,6,2021,2021-08-01T19:15:06+00:00,research,38.0608493137,-122.9509320019,12,Lonicera,involucrata,,Lonicera involucrata,twinberry honeysuckle,https://www.inaturalist.org/observations/84929452,"{'x': -122.95093200199994, 'y': 38.06084931400005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.95093200199994,38.06084931400005,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
1017463,314291,57824,Plantae,robberfly,2013-06-27T12:30:51-07:00,6,2013,2018-09-28T13:28:50+00:00,research,38.0745,-122.9151666667,,Sambucus,racemosa,,Sambucus racemosa,red elderberry,https://www.inaturalist.org/observations/314291,"{'x': -122.915166667, 'y': 38.07450000000006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.915166667,38.07450000000006,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
